	id	nickname	full_name	n_followers	n_follows	bio	external_url	fb_page	is_verified	profile_pic_url	timestamp_db
0	1822627795	barbagrelhaebigode	Barba, Grelha e Bigode®	21349	2223	"🍔🍽🍺 BURGERS - GRELHADOS E SANDUBAS DE CARNES DEFUMADAS!  
Terça a quinta - 18h às 22h
Sexta e sábado 18h as 24h
Domingo 18h às 22h
Temos Delivery!!"	http://www.facebook.com/barbagrelhaebigode		False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/s150x150/16464280_1128364390623997_7301039739971305472_a.jpg	1507766065
1	1439637592	allanbernardoo	Allan Bernardo	1750	108	"👦“Siga seu coração e viva seus sonhos.”
♌ 25 anos 🏳️‍🌈
🏡 Curitiba 
 🇧🇷|BR|🇧🇷"			False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/s150x150/22344273_1982268582049057_1469639754587832320_n.jpg	1507766066
2	216727687	keri_perez_808	keri_perez_808	945	752	"🔸GOD 1st🙏🔸Hawaii girl🔸Live 2 Inspire👍🔸LOA🌅🔸Health/Fitness/Wellness Coach💪
🔸Want Essential Oils❓💛LIFE💜FITNESS💚ADVENTURE💗2CRAFT"			False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/s150x150/18949883_1403531936352308_7713137088903774208_a.jpg	1507766067
3	208761387	insta_fadyy	FadyMel7em.Sarahah.com	3896	500	"⁦⁦⁩⁦🇱🇧⁩🇱🇧LEBANON⁩⁦🇱🇧⁩⁦ 🇱🇧
#LIVE_LOVE_LAUGH      طنش_تعش_تنتعش#
⚫👻SNAPCHAT👻:  Fady_mel7em 
⚫Facebook Account: FA DY"			False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/s150x150/21577276_116736145704933_3503743713446723584_n.jpg	1507766067
4	294317706	rak.en	rak en	5983	783	"manila_chicago
Eat....................
Travel................
Forex....USD/JYP.........
Nature.............."			False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/s150x150/18161332_1327570533990611_886661488196976640_n.jpg	1507766067
5	1190270625	ewillie111	Ewillie Ewillie	1459	424	A Living Thing. NY. Poetry. Motivation. Healthy Food.  Spirituality. Music. Photography. Philosophy. Fitness.			False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/s150x150/20687859_338931426532143_4676711286417915904_a.jpg	1507766068
6	1964143465	symon.sayzz	LifeStyle Blog ::	347	78	"Aveda : Esthetician 💆🏽🌻👩🏽‍⚕️
| Beauty | Travel | Food | Love |"			False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/s150x150/18013909_1925152291053088_1799211686339543040_a.jpg	1507766068
7	367499464	leomorataya	leonel moratya	163	260	"🙌 learn from yesterday. Live for today.🤗
Hope for tomorrow 👌
Peace ✌and love 💖🤝
New journey 🙏✒
GYM💪🏋️‍♂️
Lincoln, NE
29
🇸🇻"			False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/s150x150/20583214_113663349293998_4056351909605277696_a.jpg	1507766069
8	5573349095	billionaireburgerboyz	Billionaire Burger Truck	6902	1063	Billionaire Burger Boyz @smokehouselee @chef_soulo	https://m.yelp.com/biz/billionaire-burger-boyz-los-angeles		False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/s150x150/21984644_1880580028825927_6151578127874129920_n.jpg	1507766070
9	8565085	daretobedomestic	Dare To Be Domestic	711	936	I shop, organize and make your home look beautiful ! DARE TO BE DOMESTIC with Lifestyle Expert Derrick Johnson. Creator of The HouseBook home journal.	http://www.etsy.com/shop/daretobedomestic		False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/1742248_696578620425390_101775257_a.jpg	1507766070
10	1585731788	masumi_1130	masumi	195	83	nail💅🏻disney🏰food🍝🍱🍭travel✈️大学生長女👩‍🎓中学生長男💁🏻‍♂️⚽️中学生次女👩🏻🎹の母 ✌🏻🇺🇸🌺🌈🏝💕			False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/s150x150/21227322_146324522625430_7398644284817145856_a.jpg	1507766071
11	3196721083	realdonggeul	강동글	2467	100	"동글이의 옴뇸뇸스타그램
# 먹스타그램 , foodlover , 먹기록
# 선팔과 언팔은 그대 맘 맞팔은 동글이 맘🙏
댓글 알림 못 볼 수도 있어요 DM 주세요🙋🏻"			False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/s150x150/22158547_1872899469690534_6380724043389075456_n.jpg	1507766071
12	3241396649	ibrahimsfattycrab	Ibrahim's Fatty Crab	7170	3467	"Halal Chinese Style Seafood
Open: 5pm / 3pm weekend
Last Order 12.30am / 1130pm weekend - Close on Monday
RSVP: ‪ +601111444131"			False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/s150x150/13743076_589387034565663_1236044715_a.jpg	1507766072
13	4896375038	evelyn_on_diet	Evelyn(●˃̶͈̀ロ˂̶͈́)੭ꠥ⁾⁾07/12/00	222	791	"🌱February 2016 starts 🌱
🇺🇸MAX: 79.9kg🇺🇸
💆🏻Currently 173cm/63.2kg🤖
💫GOAL✨ 50~53 kg🔥 62.2kg🔓57kg🔒. @evelynpianist🎹"			False	https://scontent-lax3-2.cdninstagram.com/t51.2885-19/s150x150/21227318_1826260884069657_6699354846601936896_a.jpg	1507766072
